"Национальное_географическое_общество","Nat_Geo_Wild"
"Правительство_Швеции","Posten_(Швеция)"
"Правительство_Российской_Федерации","РИА_Новости"
"Государственный_строй_Дании","Posten_(Швеция)"
"Финляндия","Valtion_lentokonetehdas"
"Hearst_Corporation","The_Biography_Channel"
"Fuji_Heavy_Industries","Subaru_Tecnica_International"
"Sony_Music_Entertainment","Ultra_Records"
"SoftBank","Sprint_Nextel"
"Daimler","Setra"
"The_Walt_Disney_Company","Super_RTL"
"Warner_Bros.","Warner_Bros._Television"
"Time_Warner","Warner_Bros._Television"
"Carlsberg","Tuborg"
"Imperial_Tobacco","Altadis"
"RTL_Group","Super_RTL"
"Би-би-си","BBC_Sport"
"Ford","Ford_Otosan"
"Министерство_культуры_Российской_Федерации","Союзмультфильм"
"Федеральное_космическое_агентство","Телестудия_Роскосмоса"
"Токио_Доум","Tokyo_Metropolitan_Television"
"Интеррос","ТВ-3"
"Take-Two_Interactive","Rockstar_London"
"Би-би-си","BBC_HD"
"Toei","Tokyo_Metropolitan_Television"
"Kadokawa_Shoten","Tokyo_Metropolitan_Television"
"Honda","Acura"
"Modern_Times_Group","TV1000_Русское_кино"
"Citigroup","EMI"
"TV_Asahi","Shin-Ei_Animation"
"Бруней","Piper_Aircraft"
"Bugatti_Automobiles","Lotus_Cars"
"General_Motors","Lotus_Cars"
"Германия","Deutsche_Bahn"
"Sony","Columbia_Pictures"
"News_Corporation","20th_Century_Fox"
"Proton_Edar_Sdr_Holding","Lotus_Cars"
"Nike","Converse"
"Tata_Motors","Jaguar"
"Viacom","Nickelodeon"
"NBC_Universal","MSNBC"
"Исполнительная_власть_в_Японии","NHK"
"Би-би-си","BBC_Radio"
"Би-би-си","BBC_Two"
"The_Coca-Cola_Company","Columbia_Pictures"
"Daimler","Renault"
"Metro-Goldwyn-Mayer","United_Artists"
"The_Walt_Disney_Company","Walt_Disney_Pictures"
"Microsoft","Ultimate_Play_The_Game"
"Nissan","Renault"
"Oracle","PeopleSoft"
"Rare","Ultimate_Play_The_Game"
"Veolia_Environnement","Veolia_Transport"
"Dr._Dre","Beats Electronics"
"Политика_Бутана","Радиовещательная_служба_Бутана"
"Time_Warner","Castle_Rock_Entertainment"
"Square_Enix","Crystal_Dynamics"
"NBC_Universal","Focus_Features"
"Rebellion_Developments","Core_Design"
"Eidos_Interactive","Core_Design"
"CME_Group","Чикагская_торговая_палата"
"Toyota_Group","Fuji_Heavy_Industries"
"ZeniMax_Media","Bethesda_Game_Studios"
"Президент_Республики_Кипр","Cyprus_Broadcasting_Corporation"
"JoWooD_Entertainment","Dreamcatcher_Interactive"
"Daimler","Maybach"
"Daimler","Orion_International"
"Daimler","Mercedes-Benz"
"Национальная_баскетбольная_ассоциация","NBA_TV"
"Sony","Media_Molecule"
"Hasbro","Hub_Network"
"Time_Warner","New_Line_Cinema"
"Time_Warner","NBA_TV"
"TNT_N.V.","TNT_Post"
"Konami","Hudson_Soft"
"ZDF","Phoenix_(телеканал)"
"ARD","Phoenix_(телеканал)"
"Голос_Исламской_Республики_Иран","Press_TV"
"Fender","Jackson_Guitars"
"Daimler","Sterling_trucks"
"Volkswagen_(концерн)","Suzuki"
"Sony","Sony_Online_Entertainment"
"Sony","Sony_Music_Entertainment"
"Sony","Sony_Pictures_Animation"
"Time_Warner","Warner_Bros._Animation"
"Саудовская_Аравия","Аль-Арабия"
"Take-Two_Interactive","Rockstar_North"
"Take-Two_Interactive","Firaxis_Games"
"Министерство_внутренних_дел_Украины","НПО_«Форт»"
"Activision_Blizzard","Radical_Entertainment"
"Газпром-Медиа_Холдинг","ТНТ"
"Daimler","КамАЗ"
"Европейский_банк_реконструкции_и_развития","КамАЗ"
"Исландия","Лэндсвиркьун"
"Microsoft","Rare"
"Политика_Мексики","Pemex"
"Time_Warner","N-tv"
"Konami","Ultra_Games"
"Cheung_Kong_Group","Hutchison_Whampoa"
"RTL_Group","N-tv"
"Sberbank_CIB","КамАЗ"
"Sunrise_(студия)","Animax"
"TMS_Entertainment","Animax"
"Toei_Animation","Animax"
"Intel","Havok_(компания)"
"Ubisoft","Related_Designs"
"Ubisoft","Ubisoft_Shanghai"
"Take-Two_Interactive","Rockstar_New_England"
"Activision","High_Moon_Studios"
"Fox_Broadcasting_Company","Fox_Life"
"TeliaSonera","Azercell_Telekom"
"Лукойл","ТВ-6"
"News_Corporation","MTV_Юго-Восточная_Азия"
"Electronic_Arts","Visceral_Games"
"Modern_Times_Group","Viasat_Explorer"
"Viacom","MTV_Юго-Восточная_Азия"
"Turkcell","Azercell_Telekom"
"Интер_(телеканал)","MTV_Украина"
"Газпром-Медиа_Холдинг","Rutube"
"Hyundai_Motor","Kia_Motors"
"Metro-Goldwyn-Mayer","Orion_Pictures"
"Warner_Bros.","Orion_Pictures"
"Норвегия","Норвежская_вещательная_корпорация"
"Fox_International_Channels","Sky_News"
"Hoffmann–La_Roche","Genentech"
"EBay","PayPal"
"Исполнительная_власть_в_Японии","Nippon_Telegraph_and_Telephone"
"Банк_Мидзухо","East_Japan_Railway_Company"
"Sumitomo_Mitsui_Banking_Corporation","East_Japan_Railway_Company"
"Би-би-си","BBC_One"
"The_Bank_of_Tokyo-Mitsubishi_UFJ","East_Japan_Railway_Company"
"VAP","Madhouse"
"General_Motors","Vauxhall"
"Dentsu","Madhouse"
"Yle","YLE_FST5"
"WOWOW","Madhouse"
"Take-Two_Interactive","2K_Games"
"Take-Two_Interactive","2K_Sports"
"Take-Two_Interactive","2K_Czech"
"StarLightMedia","ICTV_(телеканал)"
"Sumitomo_Mitsui_Banking_Corporation","West_Japan_Railway_Company"
"La_Poste","Dynamic_Parcel_Distribution"
"The_Bank_of_Tokyo-Mitsubishi_UFJ","West_Japan_Railway_Company"
"Ball_(компания)","Ball_Aerospace_&_Technologies"
"Sumitomo_Mitsui_Banking_Corporation","Madhouse"
"Китайская_Народная_Республика","China_Unicom"
"Общественно-правовое_вещание","Болгарское_национальное_телевидение"
"Electronic_Arts","EA_Digital_Illusions_CE"
"Правительство_Российской_Федерации","Первый_канал_(Россия)"
"Google_(компания)","Orkut"
"Daimler","Thomas_Built_Buses"
"Canadian_Broadcasting_Corporation","TV5_Monde"
"The_Capital_Group_Companies","ASML"
"Arte_(телеканал)","TV5_Monde"
"Anheuser-Busch_InBev","Боддингтонс_паб_эль"
"Carlsberg","Холстен"
"Groupe_Canal+","Canal+"
"NBC_Universal","Telemundo"
"Государственный_совет_КНР","CITIC"
"Украина","Завод_имени_Малышева"
"Time_Warner","Rocksteady_Studios"
"Crytek","Crytek_Black_Sea"
"Finmeccanica","Alenia_Aeronautica"
"Верховная_рада_Украины","Рада_(телеканал)"
"Греческая_корпорация_телерадиовещания","ET3"
"Греческая_корпорация_телерадиовещания","ET1"
"ARD","Das_Erste"
"Central_European_Media_Enterprises","TV_Nova"
"Isuzu","Anadolu_Isuzu"
"Ford_Motor_Company_of_Australia","Ford_Performance_Vehicles"
"Fuji_Television","Toei_Animation"
"Yahoo!","Yahoo!_Japan"
"Ubisoft","Ubisoft_Blue_Byte"
"NBC_Universal","Universal_(телеканал)"
"Частный_сектор_экономики","Iran_Khodro"
"SoftBank","Yahoo!_Japan"
"TV_Asahi","Toei_Animation"
"Ян_Хён_Сок","YG_Entertainment"
"Toei","Toei_Animation"
"Virgin_Group","Virgin_Interactive"
"Клифф_Барнс","Семья_Юингов"
"Челси_(футбольный_клуб)","Chelsea_TV"
"Совет_Министров_Республики_Беларусь","Беларусбанк"
"Modern_Times_Group","TV1000"
"ThyssenKrupp","Howaldtswerke-Deutsche_Werft"
"MBC_Plus","MBCGame"
"A.P._Moller-Maersk_Group","DFDS"
"Avaya","Radvision"
"Правительство_Российской_Федерации","Гознак"
"Kuju_Entertainment","Vatra_Games"
"Совет_Министров_Республики_Беларусь","Белтелеком"
"Национальная_государственная_телерадиокомпания_Республики_Беларусь","Беларусь 24"
"Азербайджан","Азермарка"
"NBC_Universal","Diva_Universal"
"Legrand","Bticino"
"Польское_телевидение","TVP_Info"
"RAI","Rai_Scuola"
"Государственный_совет_КНР","Синьхуа"
"Toyota","Central_Japan_Railway_Company"
"Time_Warner","NetherRealm_Studios"
"News_Corporation","4Kids_TV"
"Anheuser-Busch_InBev","Beck's"
"Королевство_Нидерландов","ABN_AMRO"
"Progressive_Enterprises","Countdown_(супермаркет)"
"Земли_Германии","ZDF"
"Viacom","Comedy_Central"
"NBC_Universal","Syfy_Universal"
"Банк_Мидзухо","Central_Japan_Railway_Company"
"SOCEMIE","Euronews"
"The_Walt_Disney_Company","Touchstone_Pictures"
"Церковь_Объединения","Пхёнхва_Моторс"
"KfW","Deutsche_Post_AG"
"JPMorgan_Chase","Tribune_Company"
"Deutsche_Post_AG","DHL"
"Take-Two_Interactive","Rockstar_Games"
"Шведское радио","Sveriges_Television"
"The_Bank_of_Tokyo-Mitsubishi_UFJ","Central_Japan_Railway_Company"
"Audi","Quattro_GmbH"
"BMW","BMW_M"
"Sony","Guerrilla_Games"
"Sony","Sucker_Punch_Productions"
"News_Corporation","Blue_Sky_Studios"
"Heineken","Amstel_(компания)"
"Anheuser-Busch_InBev","Hoegaarden"
"THQ","Vigil_Games"
"Правительство_Российской_Федерации","Мострансавто"
"Интер_(телеканал)","Мега_(телеканал)"
"American_Broadcasting_Company","Worldvision_Enterprises"
"Государственный_строй_Ирана","Национальная_иранская_нефтяная_компания"
"Литва","Литовские_железные_дороги"
"LVMH","Bulgari"
"Греческая_корпорация_телерадиовещания","Голос_Греции"
"Take-Two_Interactive","Irrational_Games"
"Elbit_Systems","Солтам"
"Правительство_КНДР","Корейское_центральное_телевидение"
"Турецкая_телерадиокомпания","Голос_Турции"
"Всероссийская_государственная_телевизионная_и_радиовещательная_компания","Бибигон_(телеканал)"
"Take-Two_Interactive","Rockstar_Vancouver"
"Time_Warner","Monolith_Productions"
"News_Corporation","Fox_Searchlight_Pictures"
"Square_Enix","Eidos_Interactive"
"Emerson_Electric","Chloride_Group_plc"
"Square_Enix_Europe","Eidos_Interactive"
"Би-би-си","BBC_Parliament"
"Daimler","Adtranz"
"The_Walt_Disney_Company","Hulu"
"Приват","УНИАН"
"Paramount_Pictures","MTV_Films"
"Польша","Польские_государственные_железные_дороги"
"Daimler-Benz","Adtranz"
"ABB","Adtranz"
"Viacom","MTV_Films"
"Правительство_Российской_Федерации","Роснефть"
"Take-Two_Interactive","Rockstar_San_Diego"
"Take-Two_Interactive","Rockstar_Toronto"
"Take-Two_Interactive","Rockstar_Leeds"
"Bauer_Media_Group","RTL_II"
"RTL_Group","RTL_II"
"BP","Роснефть"
"Министерство_торговли_и_промышленности_Норвегии","Store_Norske"
"De_Beers","Debswana"
"Европейский_банк_реконструкции_и_развития","GM-АВТОВАЗ"
"АвтоВАЗ","GM-АВТОВАЗ"
"General_Motors","GM-АВТОВАЗ"
"Square_Enix","Square_Enix_Europe"
"Европейский_банк_реконструкции_и_развития","Komercijalna_banka"
"Renault","Oyak-Renault"
"LVMH","Berluti"
"Норвежская_вещательная_корпорация","NRK1"
"Правительство_Сербии","Komercijalna_banka"
"Правительство_Российской_Федерации","Транснефть"
"ARD","ARD"
"Систем_Кэпитал_Менеджмент","Украина_(телеканал)"
"Китайская_Народная_Республика","China_Mobile"
"Sony","Evolution_Studios"
"Toyota","Denso"
"Caterpillar","Electro-Motive_Diesel"
"Heineken","Бимиш"
"Vivendi","Activision_Blizzard"
"ARD","Deutsche_Welle"
"CME_Group","Чикагская_товарная_биржа"
"General_Motors","GMC_(автомобильная_марка)"
"Sony","Naughty_Dog"
"Bell_Media","MuchMusic"
"Square_Enix","IO_Interactive"
"Viacom","GameTrailers"
"1932_год_в_авиации","Hughes_Aircraft"
"1953_год_в_авиации","Hughes_Aircraft"
"1985_год_в_авиации","Hughes_Aircraft"
"Газпром-Медиа_Холдинг","НТВ-Плюс"
"Sony","Polyphony_Digital"
"Time_Warner","Surreal_Software"
"The_Capital_Group_Companies","Schneider_Electric"
"Luxottica","Ray-Ban"
"Renault","Renault_Samsung_Motors"
"Samsung","Renault_Samsung_Motors"
"Viacom","Paramount_Vantage"
"THQ","Relic_Entertainment"
"Samsung_Electronics","Samsung_Heavy_Industries"
"RAI","San_Marino_RTV"
"RTL_Group","RTL_Television"
"Sega","Relic_Entertainment"
"Украина","Украинские_железные_дороги"
"Warner_Bros.","The_CW_Television_Network"
"Time_Warner","The_CW_Television_Network"
"Alstom","Трансмашхолдинг"
"Российские_железные_дороги","Трансмашхолдинг"
"Sega","Creative_Assembly"
"CBS_Corporation","The_CW_Television_Network"
"Sony","Psygnosis_Limited"
"Правительство_Российской_Федерации","Совкомфлот"
"StarLightMedia","Новый_канал"
"NASDAQ_OMX_Group","Армянская_фондовая_биржа"
"Турецкая_телерадиокомпания","TRT_1"
"Telekom_Srbija","Telekom_Srbija"
"Би-би-си","Русская_служба_Би-би-си"
"Ювентус","Juventus_Channel"
"Paramount_Pictures","Nickelodeon_Movies"
"Viacom","Nickelodeon_Movies"
"Trimble_Navigation","Tekla"
"Президент_Турецкой_Республики_Северного_Кипра","Bayrak"
"Microsoft","Turn_10_Studios"
"Electronic_Arts","EA_Los_Angeles"
"Польское_телевидение","TVP_Polonia"
"Procter_&_Gamble","Pampers"
"Кабинет_министров_Латвии","Latvijas_Pasts"
"The_Walt_Disney_Company","Black_Rock_Studio"
"Укроборонпром","Харьковское_конструкторское_бюро_машиностроения"
"Marriott_International","Ritz-Carlton"
"Google_(компания)","Карты_Google"
"Интер_(телеканал)","Интер_(телеканал)"
"CBS","TriStar_Pictures"
"Всероссийская_государственная_телевизионная_и_радиовещательная_компания","Голос_России"
"Sony","TriStar_Pictures"
"Государственный_строй_Австрии","Osterreichischer_Rundfunk"
"HBO","TriStar_Pictures"
"Time_Inc.","TriStar_Pictures"
"SABMiller","Grolsch"
"Electronic_Arts","The_Sims_Studio"
"Modern_Times_Group","СТБ"
"Нихон_кэйдзай_симбун","TV_Tokyo"
"Ubisoft","Ubisoft_Reflections"
"Правительство_Российской_Федерации","Объединённая_авиастроительная_корпорация"
"StarLightMedia","СТБ"
"Activision_Blizzard","Sledgehammer_Games"
"The_Coca-Cola_Company","TriStar_Pictures"
"Televisa","Univision"
"Государственная_нефтяная_компания_Азербайджанской_Республики","Petkim_Petrokimya"
"Греческая_корпорация_телерадиовещания","NET_(Греция)"
"Польское_телевидение","TVP2"
"Комитет_по_контролю_и_управлению_государственным_имуществом_Китая_(SASAC)","China_Communications_Construction"
"Volkswagen_(концерн)","Rolls-Royce_Motors"
"Apple","P.A._Semi"
"BMW","Rolls-Royce_Motors"
"Совет_Министров_Республики_Беларусь","Национальная_государственная_телерадиокомпания_Республики_Беларусь"
"Государственный_строй_Азербайджана","AzTV"
"Telenor","VimpelCom_Ltd."
"Modern_Times_Group","TV3_Eesti"
"Modern_Times_Group","Диема"
"Правительство_Сербии","Железнице_Србије"
"NBC_Universal","KidsCo"
"Altimo","VimpelCom_Ltd."
"Toshiba","Ikegami"
"Государственный_строй_Греции","Афинско-Македонское_агентство_новостей"
"Россия","Банк_ВТБ"
"Disney_Channel","Узнавайка_Disney"
"Electronic_Arts","Mythic_Entertainment"
"Болгарское_национальное_телевидение","БНТ_1"
"Activision_Blizzard","Toys_For_Bob"
"Москва","ТВ_Центр"
"СТС_Медиа","Домашний"
"Правительство_Казахстана","Самрук-Казына"
"SABMiller","Plzensky_Prazdroj"
"Electronic_Arts","EA_Phenomic"
"Общество_с_ограниченной_ответственностью","Одесская_киностудия"
"Интеррос","Nickelodeon_(СНГ)"
"The_Walt_Disney_Company","Disney_Nature"
"Газпромбанк","Газпром-Медиа_Холдинг"
"BMW","BMW_i"
"Viacom","MTV_Индонезия"
"Ubisoft","Ubisoft_Quebec"
"Ubisoft","Ubisoft_Montreal"
"Государственный_строй_Ирана","Голос_Исламской_Республики_Иран"
"СТС_Медиа","31_канал_(Казахстан)"
"Electronic_Arts","Ghost_Games"
"Sony_Pictures_Entertainment","Sony_Sci-Fi"
"Thales","DCNS"
"McLaren_Group","McLaren"
"DreamWorks","DreamWorks_Animation_SKG"
"20th_Century_Fox","Fox_Atomic"
"Kohlberg_Kravis_Roberts","First_Data"
"Daimler","Smart_(автомобильная_марка)"
"Государственный_строй_Норвегии","Statoil"
"The_Walt_Disney_Company","History_Channel"
"Miramax_Films","Dimension_Films"
"Electronic_Arts","Criterion_Games"
"NCSoft","ArenaNet"
"Национальная_государственная_телерадиокомпания_Республики_Беларусь","Беларусь_(радиостанция)"
"The_Weinstein_Company","Dimension_Films"
"Daimler","Tesla_Motors"
"RTL_Group","VOX_(телеканал)"
"RTL_Television","VOX_(телеканал)"
"Toyota_Group","Tesla_Motors"
"Государственный_совет_КНР","Aluminum_Corporation_of_China"
"Бельгия","Lactalis"
"Tata_Group","Corus"
"Konami","Kojima_Productions"
"Хорватия","Радио_и_телевидение_Хорватии"
"Mars","Royal_Canin"
"Правительство_КНДР","Голос_Кореи"
"Activision_Blizzard","Treyarch"
"The_Walt_Disney_Company","ABC_Studios"
"ZDF","KI.KA"
"ARD","KI.KA"
"Гессенское_радиовещание","KI.KA"
"Production_I.G","Tatsunoko_Production"
"Westdeutscher_Rundfunk","KI.KA"
"The_Walt_Disney_Company","Disney_Channel_Scandinavia"
"Aktiengesellschaft","JoWooD_Entertainment"
"Российский_алюминий","Хакасский_алюминиевый_завод"
"Совет_Министров_Республики_Беларусь","Белпочта"
"Латвия","Just5"
"Рига","Just5"
"Sony","BigBig_Studios"
"McGraw-Hill","Capital_IQ"
"Газпром","Нортгаз"
"Ubisoft","Ubisoft_Montpellier"
"Кабинет_министров_Украины","Укринформ"
"Unibet","Unibet_Open"
"20th_Century_Fox","Blue_Sky_Studios"
"20th_Century_Fox","Fox_Searchlight_Pictures"
"2K_Games","2K_Marin"
"2K_Games","Firaxis_Games"
"2K_Games","2K_Czech"
"2K_Games","2K_Sports"
"2K_Games","Irrational_Games"
"A.P._Moller-Maersk_Group","Maersk_Air"
"ABC-CLIO","Greenwood_Publishing_Group"
"ABN_AMRO","Algemene_Bank_Nederland"
"ABN_AMRO","AMRO_Bank"
"Accor","Novotel"
"Acer","Packard_Bell"
"Activision","Sierra_Entertainment"
"Activision","Raven_Software"
"Activision","Infinity_Ward"
"Activision","Radical_Entertainment"
"Activision","High_Moon_Studios"
"Activision","Bizarre_Creations"
"Activision","Sledgehammer_Games"
"Activision","Toys_For_Bob"
"Activision","FUN_Labs"
"Activision","Treyarch"
"Activision_Blizzard","Activision"
"Activision_Blizzard","Blizzard_Entertainment"
"Adidas","Reebok"
"Aegean_Airlines","Olympic_Air"
"Aeropro","Aeropro"
"AG_Vulcan_Stettin","NV_Ingenieurskantoor_voor_Scheepsbouw"
"AG_Weser","NV_Ingenieurskantoor_voor_Scheepsbouw"
"Agrokor","Konzum"
"Agrokor","Jamnica"
"Air_Berlin","Niki"
"Air_China","Air_China_Cargo"
"Air_China","Shandong_Airlines"
"Air_China","Air_Macau"
"Air_China","Shenzhen_Airlines"
"Air_Fiji","Airlines_Tonga"
"Air_Greenland","Arctic_Umiaq_Line"
"Air_India","Air-India_Express"
"Airbus","Airbus_Military"
"Airlink","Swaziland_Airlink"
"Alaska_Air_Group","Alaska_Airlines"
"Alaska_Air_Group","Horizon_Air"
"Alcatel-Lucent","Bell_Labs"
"Alitalia","Air_One"
"Alitalia","Alitalia_Express"
"Allianz","Euler_Hermes"
"Allianz","Pimco"
"Alticor","Amway"
"Amazon.com","Double_Helix_Games"
"Amazon.com","Lab126"
"Amazon.com","Alexa_Internet"
"Amazon.com","Reflexive_Entertainment"
"Amer_Sports","Salomon_Sports"
"Amer_Sports","Atomic"
"Amer_Sports","Wilson_Sporting_Goods"
"AMR_Corporation","Trans_World_Airlines"
"AMR_Corporation","AmericanConnection"
"AMR_Corporation","Executive_Airlines"
"Anheuser-Busch_InBev","Anheuser-Busch"
"Aniplex","A-1_Pictures"
"AOL","The_Huffington_Post"
"AOL","Netscape_Communications"
"Apple","FingerWorks"
"ArcelorMittal","Криворожсталь"
"Armada_Music","Armind"
"Armada_Music","A_State_of_Trance_(лейбл)"
"Armada_Music","Aropa_Records"
"Armstrong_Whitworth","Vickers-Armstrongs"
"Ashok_Leyland","Optare"
"Asiana_Airlines","Air_Busan"
"AT&T","AT&T_Mobility"
"AT&T_Mobility","Alltel"
"Atlas_Air","Polar_Air_Cargo"
"Auchan","Atac"
"Audi","Lamborghini"
"Austal","Austal_USA"
"Austrian_Airlines","Lauda_Air"
"Austrian_Airlines","Международные_авиалинии_Украины"
"Avex_Group","Avex_Trax"
"AVIC_International","Cirrus_Aviation"
"Avro_Aircraft","Avro_Canada"
"Avro_Canada","Orenda_Aerospace"
"BAE_Systems","MBDA"
"Bank_of_America","Merrill_Lynch"
"Bar_XH_Air","Alberta_Citylink"
"BASF","Wintershall"
"Beijing_Perfect_World","Runic_Games"
"Belkin","Linksys"
"Berkshire_Hathaway","Kirby_(компания)"
"Berkshire_Hathaway","General_Re"
"Berkshire_Hathaway","GEICO"
"Bertelsmann","Sony_BMG"
"Bertelsmann","RTL_Group"
"Best_Buy","Future_Shop"
"Bethesda_Softworks","Bethesda_Game_Studios"
"Bloomsbury_Publishing","Continuum_International_Publishing_Group"
"Bmi","Bmibaby"
"BMW","Alpina"
"BMW","Rover_Group"
"BMW","Rolls-Royce_Motor_Cars"
"BMW","BMW_i"
"Boeing","United_Space_Alliance"
"Boeing","Jeppesen"
"Boeing","NarusInsight"
"Borgward","Goliath_(автомобильная_марка)"
"British_Aerospace","Rover_Group"
"British_Airways","BA_CityFlyer"
"British_Airways","Comair_(ЮАР)"
"British_American_Tobacco","British_American_Tobacco_Ghana"
"British_Leyland_Motor_Corporation","AEC"
"British_Leyland_Motor_Corporation","Triumph_Motor_Company"
"Brown-Forman","Jack_Daniel’s"
"Carnival_Corporation_&_plc","Cunard_Line"
"Carnival_Corporation_&_plc","Holland_America_Line"
"Carnival_Corporation_&_plc","Carnival_Cruise_Lines"
"Carnival_Corporation_&_plc","White_Star_Line"
"Carnival_Corporation_&_plc","The_Yachts_of_Seabourn"
"Carnival_Corporation_&_plc","Costa_Crociere"
"Carpatair","Moldavian_Airlines"
"Cathay_Pacific","Air_China"
"Cathay_Pacific","Air_Hong_Kong"
"Cathay_Pacific","Dragonair"
"CBS_Corporation","Simon_&_Schuster"
"CCP_Games","White_Wolf_Publishing"
"CD_Projekt_RED","GOG.com"
"CD_Projekt_RED","CD_Projekt"
"Cerberus_Capital_Management","Spyglass_Entertainment"
"Changan","Hafei"
"China_Coal_Energy","China_Coal_Energy"
"China_Eastern_Airlines","Shanghai_Airlines"
"China_Eastern_Airlines","China_United_Airlines"
"China_Southern_Airlines","Xiamen_Airlines"
